City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
642,Merauke,ID,-8.4667,140.3333,77.5,84,98,11.97,overcast clouds
643,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,69.93,26,75,5.26,broken clouds
644,Mount Darwin,ZW,-16.7725,31.5838,56.44,61,1,4.16,clear sky
645,Rexburg,US,43.826,-111.7897,90.91,22,1,5.75,clear sky
646,Nefteyugansk,RU,61.0998,72.6035,66.45,95,100,8.14,moderate rain
647,Bahia Blanca,AR,-38.7196,-62.2724,53.94,49,100,6.44,overcast clouds
648,Bandarbeyla,SO,9.4942,50.8122,78.53,76,44,24.45,scattered clouds
649,Laguna,US,38.421,-121.4238,104.22,20,1,4.0,clear sky
650,Dawei,MM,14.0833,98.2,78.22,89,97,10.96,overcast clouds
651,Contai,IN,21.7786,87.7536,81.54,89,93,8.39,overcast clouds
652,Batagay-Alyta,RU,67.8006,130.4114,57.72,61,26,2.01,scattered clouds
653,Lodwar,KE,3.1191,35.5973,79.81,56,56,0.63,broken clouds
654,Hobyo,SO,5.3505,48.5268,77.36,79,31,22.21,scattered clouds
655,Nador,MA,35.174,-2.9287,73.65,88,75,1.14,broken clouds
656,Great Yarmouth,GB,52.6083,1.7305,61.02,91,0,5.64,clear sky
657,Hovd,MN,48.0056,91.6419,68.47,36,51,3.11,broken clouds
658,Seydi,TM,39.4816,62.9137,82.67,20,0,6.8,clear sky
659,Kalemie,CD,-5.9475,29.1947,69.73,54,0,2.62,clear sky
660,Haines Junction,CA,60.7522,-137.5108,71.55,40,97,10.36,overcast clouds
661,Prince Rupert,CA,54.3161,-130.3201,57.29,88,90,2.3,light rain
662,Madhupur,IN,24.25,86.65,80.46,87,96,6.31,overcast clouds
663,Kosonsoy,UZ,41.2561,71.5508,68.56,47,0,7.85,clear sky
664,Asau,RO,46.4333,26.4,60.28,87,98,5.5,overcast clouds
665,Vinh,VN,18.6667,105.6667,78.64,86,100,5.03,light rain
666,Racine,US,42.7495,-88.0751,76.1,64,96,4.0,overcast clouds
667,Adrar,MR,20.5022,-10.0711,90.19,9,28,14.88,scattered clouds
668,Mogadishu,SO,2.0371,45.3438,76.64,87,44,17.65,light rain
669,Maniitsoq,GL,65.4167,-52.9,45.09,79,23,3.06,few clouds
670,Doume,CM,4.2333,13.45,69.58,90,96,2.95,overcast clouds
671,Zhanaozen,KZ,43.3,52.8,87.94,27,0,8.75,clear sky
672,Camana,PE,-16.6228,-72.7111,62.31,81,3,4.59,clear sky
673,Anadyr,RU,64.75,177.4833,57.7,62,0,8.95,clear sky
674,Kharp,RU,66.8014,65.8081,51.4,78,44,4.05,scattered clouds
675,Jalu,LY,29.0331,21.5482,79.84,60,0,17.9,clear sky
676,Itacare,BR,-14.2775,-38.9967,71.49,83,89,11.48,overcast clouds
677,Steinhagen,DE,52.0,8.4,66.47,81,23,1.36,few clouds
678,Ilek,RU,51.5271,53.3831,74.08,54,92,7.34,overcast clouds
679,Santo Tomas,PH,14.1079,121.1414,78.39,93,100,10.87,moderate rain
680,Urla,TR,38.3229,26.764,82.8,65,0,11.88,clear sky
681,Zhangye,CN,38.9342,100.4517,75.65,47,59,3.38,broken clouds
