City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Ponca City,US,86.92,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
554,Changji,CN,84.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
557,Araguacu,BR,79.92,clear sky,-12.9306,-49.8264,Hotel Tocantins
560,Zaragoza,ES,87.03,clear sky,41.6561,-0.8773,Hotel Goya
564,Cortez,US,86.76,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
567,Vanimo,PG,79.79,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
568,Ixtapa,MX,87.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
569,Puerto Cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Cabaña Caribe
575,Osoyoos,CA,89.19,clear sky,49.0331,-119.4524,Watermark Beach Resort Hotel
576,Gizo,SB,82.0,light rain,-8.103,156.8419,Imagination Island
577,Zenzeli,RU,82.87,broken clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
578,Alta Floresta,BR,78.91,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
581,Altagracia De Orituco,VE,75.92,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
586,Caucaia,BR,81.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
589,Alugan,PH,82.4,overcast clouds,12.2188,125.4808,JM Lodge
590,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
591,Itarema,BR,78.85,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
594,Najran,SA,77.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
596,Martinsburg,US,84.61,few clouds,39.4562,-77.9639,"Holiday Inn Martinsburg, an IHG Hotel"
598,Tayu,ID,75.74,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
599,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
